ticker,carrier,fiscal_year,quarter,period_end,buyback_musd,avg_price,shares_bought,value_today_musd,spy_value_musd,debt_value_musd,even_spend_musd,even_value_musd,net_debt_ebitda_2019
AAL,American,2015,Q1,3/31/15,181,48.17,3757525.431,49.34,817.29,281.95,526.3913043,143.48,5.20847308
AAL,American,2015,Q2,6/30/15,750,43.35,17301038.06,227.16,3309.13,1157.09,526.3913043,159.44,5.20847308
AAL,American,2015,Q3,9/30/15,1480,39.12,37832310.84,496.74,6735.69,2261.15,526.3913043,176.67,5.20847308
AAL,American,2015,Q4,12/31/15,1435,41.38,34678588.69,455.33,6416.39,2171.11,526.3913043,167.03,5.20847308
AAL,American,2016,Q1,3/31/16,1525,38.53,39579548.4,519.68,7133.99,2285.11,526.3913043,179.38,5.20847308
AAL,American,2016,Q2,6/30/16,1711,32.44,52743526.51,692.52,7488.75,2539.2,526.3913043,213.06,5.20847308
AAL,American,2016,Q3,9/30/16,695,34.02,20429159.32,268.23,2904.72,1021.39,526.3913043,203.16,5.20847308
AAL,American,2016,Q4,12/31/16,569,42.05,13531510.11,177.67,2340.89,828.1,526.3913043,164.36,5.20847308
AAL,American,2017,Q1,3/31/17,484,43.78,11055276.38,145.16,1861.44,697.7,526.3913043,157.87,5.20847308
AAL,American,2017,Q2,6/30/17,529,45.08,11734693.88,154.08,1963.99,755.25,526.3913043,153.32,5.20847308
AAL,American,2017,Q3,9/30/17,359,47,7638297.872,100.29,1289.28,507.56,526.3913043,147.05,5.20847308
AAL,American,2017,Q4,12/31/17,243,48.51,5009276.438,65.77,823.28,340.22,526.3913043,142.48,5.20847308
AAL,American,2018,Q1,3/31/18,461,52.27,8819590.587,115.8,1480.89,639.31,526.3913043,132.23,5.20847308
AAL,American,2018,Q2,6/30/18,376,43.1,8723897.912,114.54,1215.7,516.43,526.3913043,160.36,5.20847308
AAL,American,2018,Q3,9/30/18,0,38.31,0,0,0,0,0,0,5.20847308
AAL,American,2018,Q4,12/31/18,0,34.21,0,0,0,0,0,0,5.20847308
AAL,American,2019,Q1,3/31/19,608,33.11,18363032.32,241.11,1925.16,811.15,526.3913043,208.74,5.20847308
AAL,American,2019,Q2,6/30/19,17,31.92,532581.4536,6.99,50.58,22.46,526.3913043,216.53,5.20847308
AAL,American,2019,Q3,9/30/19,200,29.02,6891798.759,90.49,577.09,261.7,526.3913043,238.16,5.20847308
AAL,American,2019,Q4,12/31/19,272,28.37,9587592.527,125.89,749.63,352.45,526.3913043,243.62,5.20847308
AAL,American,2020,Q1,3/31/20,171,22.75,7516483.516,98.69,473.39,219.45,526.3913043,303.8,5.20847308
AAL,American,2020,Q2,6/30/20,2,12.13,164880.4617,2.16,5.74,2.54,526.3913043,569.79,5.20847308
AAL,American,2020,Q3,9/30/20,0,12.53,0,0,0,0,0,0,5.20847308
AAL,American,2020,Q4,12/31/20,0,13.86,0,0,0,0,0,0,5.20847308
AAL,American,2021,Q1,3/31/21,13,19.29,673924.3131,8.85,27.95,16.05,526.3913043,358.3,5.20847308
AAL,American,2021,Q2,6/30/21,0,22.62,0,0,0,0,0,0,5.20847308
AAL,American,2021,Q3,9/30/21,0,20.27,0,0,0,0,0,0,5.20847308
AAL,American,2021,Q4,12/31/21,5,19.18,260688.2169,3.42,8.94,6,526.3913043,360.35,5.20847308
AAL,American,2022,Q1,3/31/22,0,17,0,0,0,0,0,0,5.20847308
AAL,American,2022,Q2,6/30/22,0,16.65,0,0,0,0,0,0,5.20847308
AAL,American,2022,Q3,9/30/22,0,13.94,0,0,0,0,0,0,5.20847308
AAL,American,2022,Q4,12/31/22,21,13.56,1548672.566,20.33,44.18,24.23,526.3913043,509.7,5.20847308
ALK,Alaska,2015,Q1,3/31/15,102,59.43,1716304.897,72.15,460.57,158.89,70.90322581,50.16,1.134589502
ALK,Alaska,2015,Q2,6/30/15,160,59.18,2703616.087,113.66,705.95,246.85,70.90322581,50.37,1.134589502
ALK,Alaska,2015,Q3,9/30/15,119,70.36,1691301.876,71.1,541.59,181.81,70.90322581,42.36,1.134589502
ALK,Alaska,2015,Q4,12/31/15,124,73.15,1695146.958,71.26,554.45,187.61,70.90322581,40.75,1.134589502
ALK,Alaska,2016,Q1,3/31/16,127,68.47,1854826.932,77.98,594.11,190.3,70.90322581,43.53,1.134589502
ALK,Alaska,2016,Q2,6/30/16,66,64.23,1027557.216,43.2,288.87,97.95,70.90322581,46.41,1.134589502
ALK,Alaska,2016,Q3,9/30/16,0,61.44,0,0,0,0,0,0,1.134589502
ALK,Alaska,2016,Q4,12/31/16,0,73.89,0,0,0,0,0,0,1.134589502
ALK,Alaska,2017,Q1,3/31/17,0,89.03,0,0,0,0,0,0,1.134589502
ALK,Alaska,2017,Q2,6/30/17,22,82.77,265796.7863,11.17,81.68,31.41,70.90322581,36.01,1.134589502
ALK,Alaska,2017,Q3,9/30/17,28,77.46,361476.8913,15.2,100.56,39.59,70.90322581,38.48,1.134589502
ALK,Alaska,2017,Q4,12/31/17,25,67.65,369549.15,15.54,84.7,35,70.90322581,44.06,1.134589502
ALK,Alaska,2018,Q1,3/31/18,13,63.43,204950.339,8.62,41.76,18.03,70.90322581,46.99,1.134589502
ALK,Alaska,2018,Q2,6/30/18,12,59.49,201714.5739,8.48,38.8,16.48,70.90322581,50.11,1.134589502
ALK,Alaska,2018,Q3,9/30/18,12,62.6,191693.2907,8.06,36.64,16.32,70.90322581,47.62,1.134589502
ALK,Alaska,2018,Q4,12/31/18,13,62.77,207105.3051,8.71,41.73,17.51,70.90322581,47.49,1.134589502
ALK,Alaska,2019,Q1,3/31/19,13,59.56,218267.2935,9.18,41.16,17.34,70.90322581,50.05,1.134589502
ALK,Alaska,2019,Q2,6/30/19,12,59.66,201139.7922,8.46,35.7,15.86,70.90322581,49.96,1.134589502
ALK,Alaska,2019,Q3,9/30/19,727,62.15,11697506.03,491.76,2097.74,951.27,70.90322581,47.96,1.134589502
ALK,Alaska,2019,Q4,12/31/19,-677,67.73,-9995570.648,-420.21,-1865.81,-877.24,0,0,1.134589502
ALK,Alaska,2020,Q1,3/31/20,31,54.2,571955.7196,24.05,85.82,39.78,70.90322581,55,1.134589502
ALK,Alaska,2020,Q2,6/30/20,0,32.56,0,0,0,0,0,0,1.134589502
ALK,Alaska,2020,Q3,9/30/20,0,37.46,0,0,0,0,0,0,1.134589502
ALK,Alaska,2020,Q4,12/31/20,0,44.98,0,0,0,0,0,0,1.134589502
ALK,Alaska,2021,Q1,3/31/21,0,60.1,0,0,0,0,0,0,1.134589502
ALK,Alaska,2021,Q2,6/30/21,0,67.48,0,0,0,0,0,0,1.134589502
ALK,Alaska,2021,Q3,9/30/21,0,57.63,0,0,0,0,0,0,1.134589502
ALK,Alaska,2021,Q4,12/31/21,0,54.14,0,0,0,0,0,0,1.134589502
ALK,Alaska,2022,Q1,3/31/22,0,54.53,0,0,0,0,0,0,1.134589502
ALK,Alaska,2022,Q2,6/30/22,0,48.82,0,0,0,0,0,0,1.134589502
ALK,Alaska,2022,Q3,9/30/22,0,43.92,0,0,0,0,0,0,1.134589502
ALK,Alaska,2022,Q4,12/31/22,0,44.06,0,0,0,0,0,0,1.134589502
ALK,Alaska,2023,Q1,3/31/23,18,46.91,383713.4939,16.13,36.31,20.57,70.90322581,63.54,1.134589502
ALK,Alaska,2023,Q2,6/30/23,39,45.46,857897.0524,36.07,74.52,44.13,70.90322581,65.57,1.134589502
ALK,Alaska,2023,Q3,9/30/23,13,45.29,287039.0815,12.07,23.35,14.57,70.90322581,65.82,1.134589502
ALK,Alaska,2023,Q4,12/31/23,67,35.66,1878855.861,78.99,119.74,74.35,70.90322581,83.59,1.134589502
ALK,Alaska,2024,Q1,3/31/24,20,37.41,534616.4127,22.48,31.86,21.98,70.90322581,79.68,1.134589502
ALK,Alaska,2024,Q2,6/30/24,29,42.43,683478.6708,28.73,43.81,31.57,70.90322581,70.25,1.134589502
ALK,Alaska,2024,Q3,9/30/24,14,37.94,369003.69,15.51,19.96,15.09,70.90322581,78.57,1.134589502
ALK,Alaska,2024,Q4,12/31/24,249,52.57,4736541.754,199.12,332.07,265.81,70.90322581,56.7,1.134589502
ALK,Alaska,2025,Q1,3/31/25,105,65.65,1599390.708,67.24,139.89,111.02,70.90322581,45.4,1.134589502
ALK,Alaska,2025,Q2,6/30/25,430,48.58,8851379.168,372.11,587.3,450.3,70.90322581,61.36,1.134589502
ALK,Alaska,2025,Q3,9/30/25,5,55.61,89911.88635,3.78,6.07,5.19,70.90322581,53.6,1.134589502
ALK,Alaska,2025,Q4,12/31/25,30,46.23,648929.2667,27.28,34.46,30.81,70.90322581,64.48,1.134589502
ALK,Alaska,2026,Q1,3/31/26,193,48.21,4003318.814,168.3,219.72,196.32,70.90322581,61.83,1.134589502
ALK,Alaska,2026,Q2,6/30/26,57,42.71,1334582.065,56.11,60.69,57.42,70.90322581,69.79,1.134589502
DAL,Delta,2015,Q1,3/31/15,425,40.33,10538061,844.84,1919.04,662.04,496.3809524,986.73,1.447874769
DAL,Delta,2015,Q2,6/30/15,925,38.1,24278215.22,1946.38,4081.27,1427.08,496.3809524,1044.48,1.447874769
DAL,Delta,2015,Q3,9/30/15,425,39.24,10830784.91,868.3,1934.24,649.32,496.3809524,1014.14,1.447874769
DAL,Delta,2015,Q4,12/31/15,425,43.33,9808446.804,786.34,1900.32,643.01,496.3809524,918.41,1.447874769
DAL,Delta,2016,Q1,3/31/16,775,41.05,18879415.35,1513.56,3625.47,1161.29,496.3809524,969.42,1.447874769
DAL,Delta,2016,Q2,6/30/16,1026,37.49,27367297.95,2194.04,4490.62,1522.63,496.3809524,1061.48,1.447874769
DAL,Delta,2016,Q3,9/30/16,500,33.51,14920919.13,1196.21,2089.73,734.82,496.3809524,1187.55,1.447874769
DAL,Delta,2016,Q4,12/31/16,300,40.59,7390983.001,592.54,1234.21,436.61,496.3809524,980.41,1.447874769
DAL,Delta,2017,Q1,3/31/17,200,43.61,4586104.105,367.67,769.19,288.31,496.3809524,912.52,1.447874769
DAL,Delta,2017,Q2,6/30/17,600,43.97,13645667.5,1093.97,2227.59,856.61,496.3809524,905.05,1.447874769
DAL,Delta,2017,Q3,9/30/17,550,44.94,12238540.28,981.16,1975.21,777.6,496.3809524,885.51,1.447874769
DAL,Delta,2017,Q4,12/31/17,327,47.41,6897279.055,552.95,1107.87,457.83,496.3809524,839.38,1.447874769
DAL,Delta,2018,Q1,3/31/18,325,50.35,6454816.286,517.48,1044.01,450.71,496.3809524,790.36,1.447874769
DAL,Delta,2018,Q2,6/30/18,600,49.01,12242399.51,981.47,1939.94,824.08,496.3809524,811.97,1.447874769
DAL,Delta,2018,Q3,9/30/18,325,50.99,6373798.784,510.99,992.39,442.04,496.3809524,780.44,1.447874769
DAL,Delta,2018,Q4,12/31/18,325,50.69,6411521.01,514.01,1043.18,437.75,496.3809524,785.06,1.447874769
DAL,Delta,2019,Q1,3/31/19,1325,46.41,28549881.49,2288.84,4195.45,1767.73,496.3809524,857.46,1.447874769
DAL,Delta,2019,Q2,6/30/19,268,52.87,5069037.261,406.38,797.38,354.11,496.3809524,752.69,1.447874769
DAL,Delta,2019,Q3,9/30/19,209,56.27,3714234.939,297.77,603.06,273.47,496.3809524,707.21,1.447874769
DAL,Delta,2019,Q4,12/31/19,225,53.67,4192286.193,336.1,620.1,291.55,496.3809524,741.47,1.447874769
DAL,Delta,2020,Q1,3/31/20,344,47.64,7220822.838,578.89,952.32,441.47,496.3809524,835.32,1.447874769
DAL,Delta,2020,Q2,6/30/20,0,24.56,0,0,0,0,0,0,1.447874769
DAL,Delta,2020,Q3,9/30/20,0,27.83,0,0,0,0,0,0,1.447874769
DAL,Delta,2020,Q4,12/31/20,0,35.11,0,0,0,0,0,0,1.447874769
DAL,Delta,2021,Q1,3/31/21,0,42.7,0,0,0,0,0,0,1.447874769
DAL,Delta,2021,Q2,6/30/21,0,44.69,0,0,0,0,0,0,1.447874769
DAL,Delta,2021,Q3,9/30/21,0,39.41,0,0,0,0,0,0,1.447874769
DAL,Delta,2021,Q4,12/31/21,0,38.64,0,0,0,0,0,0,1.447874769
DAL,Delta,2022,Q1,3/31/22,0,37.59,0,0,0,0,0,0,1.447874769
DAL,Delta,2022,Q2,6/30/22,0,36.8,0,0,0,0,0,0,1.447874769
DAL,Delta,2022,Q3,9/30/22,0,30.65,0,0,0,0,0,0,1.447874769
DAL,Delta,2022,Q4,12/31/22,0,31.99,0,0,0,0,0,0,1.447874769
JBLU,JetBlue,2015,Q1,3/31/15,0,17.02,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2015,Q2,6/30/15,0,20.25,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2015,Q3,9/30/15,0,23.57,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2015,Q4,12/31/15,0,24.91,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2016,Q1,3/31/16,13,21.03,618164.5269,2.86,60.81,19.48,196.25,43.21,1.376603774
JBLU,JetBlue,2016,Q2,6/30/16,0,18.58,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2016,Q3,9/30/16,0,17.09,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2016,Q4,12/31/16,107,19.75,5417721.519,25.08,440.2,155.72,196.25,46.01,1.376603774
JBLU,JetBlue,2017,Q1,3/31/17,109,20.39,5345757.724,24.75,419.21,157.13,196.25,44.56,1.376603774
JBLU,JetBlue,2017,Q2,6/30/17,0,21.98,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2017,Q3,9/30/17,0,20.96,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2017,Q4,12/31/17,271,20.43,13264806.66,61.42,918.14,379.43,196.25,44.48,1.376603774
JBLU,JetBlue,2018,Q1,3/31/18,131,21.26,6161806.209,28.53,420.82,181.67,196.25,42.74,1.376603774
